id,slug,title,description
1,"comfyui","ComfyUI","AI 绘画和工作流"
2,"dairy","Dairy","日记和随笔"
3,"travel","Travel","旅行见闻"
4,"food","Food","美食探索"
5,"research","Research","研究和探索"
6,"coding","Coding","编程技术"
